Age,Sex,Race,Marital status?,Education,Employement,Incomes,How many books did you read during last 12months?,Read any printed books during last 12months?,Read any audiobooks during last 12months?,Read any e-books during last 12months?,"Last book you read, you…",Do you happen to read any daily news or newspapers?,Do you happen to read any magazines or journals?,Reading Speed
66,Male,Refused,Divorced,College graduate,Retired,"$20,000 to under $30,000",97,Yes,No,Yes,Purchased the book,No,Yes,317
46,Male,Native American/American Indian,Married,High school graduate,Employed full-time,"Less than $10,000",97,Yes,Yes,Yes,Purchased the book,Yes,Yes,253
32,Male,Mixed race,Never been married,High school graduate,Employed full-time,"Less than $10,000",97,No,Yes,Yes,Borrowed the book from a friend or family member,Yes,Yes,262
27,Male,Mixed race,Married,High school graduate,Employed full-time,"$40,000 to under $50,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,No,255
16,Female,Mixed race,Never been married,High school incomplete,Employed part-time,"$10,000 to under $20,000",97,Yes,Yes,No,Purchased the book,Yes,No,208
55,Female,Asian or Pacific Islander,Divorced,"Some college, no 4-year degree",Have own business/self-employed,"$40,000 to under $50,000",97,Yes,Yes,Yes,Purchased the book,No,No,316
63,Male,Black or African-American,Widowed,"Some college, no 4-year degree",Employed full-time,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,311
60,Female,Black or African-American,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,Yes,317
50,Female,Black or African-American,Married,Post-graduate training/professional school after college,Employed part-time,"$75,000 to under $100,000",97,Yes,No,Yes,Purchased the book,Yes,No,340
29,Female,Black or African-American,Never been married,High school graduate,Employed part-time,"Less than $10,000",97,Yes,No,Yes,Borrowed the book from a friend or family member,No,No,265
23,Male,Black or African-American,Never been married,High school graduate,Employed part-time,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,264
19,Female,Black or African-American,Never been married,"Some college, no 4-year degree",Employed part-time,"$50,000 to under $75,000",97,Yes,No,No,Got the book some other way,Yes,Yes,322
16,Female,Black or African-American,Never been married,High school graduate,Student,"$10,000 to under $20,000",97,Yes,No,Yes,Borrowed the book from a library,No,Yes,264
89,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$30,000 to under $40,000",97,Yes,No,No,Purchased the book,Yes,Yes,326
88,Female,White,Widowed,"Some college, no 4-year degree",Retired,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,330
84,Female,White,Widowed,"Some college, no 4-year degree",Retired,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,310
81,Female,White,Married,"Some college, no 4-year degree",Retired,"$75,000 to under $100,000",97,Yes,No,No,Purchased the book,Yes,Yes,312
80,Female,White,Widowed,Post-graduate training/professional school after college,Retired,Refused,97,Yes,No,No,Purchased the book,Yes,Yes,335
79,Female,White,Widowed,High school graduate,Other,"$20,000 to under $30,000",97,Yes,No,No,Borrowed the book from a library,No,No,262
79,Male,White,Married,College graduate,Retired,"$50,000 to under $75,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,317
78,Female,White,Divorced,High school graduate,Not employed for pay,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,No,No,260
78,Male,White,Married,College graduate,Retired,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,309
78,Female,White,Widowed,"Technical, trade or vocational school AFTER high school",Retired,"$10,000 to under $20,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,249
77,Female,White,Married,High school graduate,Not employed for pay,Refused,97,Yes,No,Yes,Purchased the book,No,No,266
76,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a friend or family member,Yes,Yes,340
75,Female,White,Married,Post-graduate training/professional school after college,Retired,"$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,Yes,Yes,330
73,Male,White,Married,Post-graduate training/professional school after college,Have own business/self-employed,"$100,000 to under $150,000",97,Yes,No,No,Purchased the book,Yes,Yes,325
73,Male,White,Widowed,Post-graduate training/professional school after college,Retired,Refused,97,Yes,Yes,No,Borrowed the book from a library,Yes,Yes,325
73,Female,White,Married,College graduate,Not employed for pay,"$50,000 to under $75,000",97,Yes,No,Yes,Borrowed the book from a library,Yes,Yes,322
71,Female,White,Divorced,Post-graduate training/professional school after college,Retired,"9$100,000 to under $150,000",97,Yes,No,No,Borrowed the book from a library,Yes,No,340
